date,vnindex_close,vnindex_volume
2014-03-06,578.56,131565672
2014-03-07,579.75,149392496
2014-03-10,583.69,140462544
2014-03-11,588.5,158740992
2014-03-12,590.02,168708960
2014-03-13,595.22,130339056
2014-03-14,596.83,160384624
2014-03-17,600.36,161239504
2014-03-18,599.85,193120368
2014-03-19,605.59,188807504
2014-03-20,600.26,183471296
2014-03-21,601.75,225112352
2014-03-24,607.55,189271920
2014-03-25,601.85,245217840
2014-03-26,588.06,246459568
2014-03-27,590.14,146465264
2014-03-28,594.29,116220648
2014-03-31,591.57,117084096
2014-04-01,583.85,167165312
2014-04-02,581.67,142309840
2014-04-03,589.44,99127880
2014-04-04,593.04,92353584
2014-04-07,600.57,108560416
2014-04-08,603.25,109210640
2014-04-10,601.33,110578336
2014-04-11,600.57,104068008
2014-04-14,596.11,96128088
2014-04-15,586.09,126833616
2014-04-16,574.29,143009888
2014-04-17,580.31,86527800
2014-04-18,565.33,106747120
2014-04-21,558.14,93868872
2014-04-22,569.87,84120408
2014-04-23,569.36,63157600
2014-04-24,570.46,48621460
2014-04-25,578.92,58226792
2014-04-28,573.1,53208232
2014-04-29,578.0,45941888
2014-05-05,564.85,73606800
2014-05-06,555.11,98267720
2014-05-07,559.97,46793760
2014-05-08,527.09,128293232
2014-05-09,542.46,115488640
2014-05-12,517.05,94224400
2014-05-13,513.91,92140328
2014-05-14,529.53,106635848
2014-05-15,524.05,125655192
2014-05-16,529.49,79135648
2014-05-19,533.04,94450040
2014-05-20,537.52,102485880
2014-05-21,543.88,99864168
2014-05-22,541.73,122267760
2014-05-23,541.49,84206792
2014-05-26,544.06,70350072
2014-05-27,552.75,121729360
2014-05-28,557.34,107355240
2014-05-29,558.45,114247616
2014-05-30,562.02,81363296
2014-06-02,556.8,78700672
2014-06-03,558.76,53295920
2014-06-04,553.46,67155664
2014-06-05,551.1,53199848
2014-06-06,559.04,59778288
2014-06-09,565.61,107736656
2014-06-10,566.89,78132944
2014-06-11,570.36,75171288
2014-06-12,573.77,90147440
2014-06-13,574.48,67624304
2014-06-16,572.37,76547352
2014-06-17,572.25,103158968
2014-06-18,570.03,95680952
2014-06-19,567.35,122009512
2014-06-20,560.78,116175888
2014-06-23,565.92,47939680
2014-06-24,569.74,56799240
2014-06-25,572.27,87749024
2014-06-26,576.4,111053088
2014-06-27,578.82,59803528
2014-06-30,578.13,63785008
2014-07-01,578.07,101593984
2014-07-02,578.8,107018064
2014-07-03,585.02,127121960
2014-07-04,589.35,117186000
2014-07-07,590.69,114945344
2014-07-08,591.47,95623320
2014-07-09,591.6,99772408
2014-07-10,584.88,148042032
2014-07-11,582.77,76665488
2014-07-14,586.23,61364608
2014-07-15,589.31,98238768
2014-07-16,589.68,134145840
2014-07-17,590.37,94389680
2014-07-18,596.26,120565296
2014-07-21,601.04,109316960
2014-07-22,597.98,89952816
2014-07-23,597.5,58825520
2014-07-24,602.06,84773632
2014-07-25,600.14,94267824
2014-07-28,589.45,106264464
2014-07-29,592.24,60692448
2014-07-30,589.33,73191400
2014-07-31,596.07,61274968
2014-08-01,593.9,59841152
2014-08-04,599.04,71125720
2014-08-05,607.73,83711688
2014-08-06,606.7,87400600
2014-08-07,607.62,87858760
2014-08-08,605.43,101520160
2014-08-11,602.13,74249568
2014-08-12,601.78,78520728
2014-08-13,602.76,93087280
2014-08-14,605.25,109406304
2014-08-15,604.24,101218784
2014-08-18,605.08,123678840
2014-08-19,604.64,125366088
2014-08-20,606.7,98377832
2014-08-21,612.94,140343472
2014-08-22,620.14,151323248
2014-08-25,625.88,156793904
2014-08-26,629.06,129151112
2014-08-27,628.77,152313568
2014-08-28,632.03,134519824
2014-08-29,636.65,170612896
2014-09-03,640.75,188155712
2014-09-04,640.22,147679696
2014-09-05,638.65,138632496
2014-09-08,639.85,163787712
2014-09-09,626.92,242576656
2014-09-10,628.8,129722928
2014-09-11,628.99,121586888
2014-09-12,632.5,142042144
2014-09-15,630.34,201078784
2014-09-16,627.66,176189312
2014-09-17,625.66,183400384
2014-09-18,615.8,162783904
2014-09-19,613.29,203749040
2014-09-22,611.93,99326224
2014-09-23,610.39,131792632
2014-09-24,603.59,112776096
2014-09-25,605.1,123016768
2014-09-26,604.98,134501728
2014-09-29,599.78,111034704
2014-09-30,598.8,142531376
2014-10-01,609.27,168682480
2014-10-02,612.66,165970848
2014-10-03,611.55,170475584
2014-10-06,614.42,163261232
2014-10-07,614.08,178871568
2014-10-08,617.26,167590176
2014-10-09,624.34,154923104
2014-10-10,617.72,143028672
2014-10-13,614.22,108441800
2014-10-14,605.79,112901760
2014-10-15,604.29,117820960
2014-10-16,587.17,165668624
2014-10-17,585.28,118004416
2014-10-20,589.24,75388464
2014-10-21,600.55,80475800
2014-10-22,601.59,97192992
2014-10-23,593.53,143961968
2014-10-24,591.51,90743200
2014-10-27,580.8,99712608
2014-10-28,583.13,109692912
2014-10-29,591.2,94659672
2014-10-30,589.14,94528448
2014-10-31,600.84,128902840
2014-11-03,603.15,109836448
2014-11-04,598.39,107482688
2014-11-05,597.01,129003800
2014-11-06,597.85,85175152
2014-11-07,602.59,119568152
2014-11-10,602.12,126939272
2014-11-11,604.23,132043888
2014-11-12,604.01,121877552
2014-11-13,603.16,139365184
2014-11-14,600.36,141302224
2014-11-17,600.93,108861536
2014-11-18,594.25,128868512
2014-11-19,588.35,131657232
2014-11-20,593.32,147023616
2014-11-21,588.03,157836656
2014-11-24,582.53,111511312
2014-11-25,585.91,102742672
2014-11-26,576.04,153001776
2014-11-27,572.89,107299536
